observed_date,site_name,site_id,pollution_forecast,forecast_issued_at,latest_result,latest_result_rating,latest_sample_date,source_url,fetched_at
2026-08-27,Bondi Beach,405ce99c-7a0b-43f7-8d28-2ee0b65eebb5,Unlikely,2026-08-27T03:30:00.48+00:00,Fair,3,2026-08-20T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-08-27T10:19:37.039Z
2026-08-27,Tamarama Beach,d8174dde-e864-4a58-b997-e140bea7c5d6,Possible,2026-08-27T03:30:00.48+00:00,Fair,3,2026-08-20T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-08-27T10:19:37.039Z
2026-08-27,Bronte Beach,e34aa8b8-142f-438d-ab18-bedce361e324,Possible,2026-08-27T03:30:00.48+00:00,Good,4,2026-08-20T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-08-27T10:19:37.039Z
2026-08-27,Clovelly Beach,06e4aa12-a704-440e-a31c-ce25fcd0057f,Unlikely,2026-08-27T03:30:00.48+00:00,Good,4,2026-08-20T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-08-27T10:19:37.039Z
2026-08-27,Gordons Bay (East),042af9fb-da1d-406a-a743-3da81da0a194,Unlikely,2026-08-27T03:30:00.48+00:00,Good,4,2026-08-20T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-08-27T10:19:37.039Z
2026-08-27,Coogee Beach,ca53919d-8e26-40b0-b8cc-edf80ec303d9,Unlikely,2026-08-27T03:30:00.48+00:00,Good,4,2026-08-20T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-08-27T10:19:37.039Z
2026-09-02,Bondi Beach,405ce99c-7a0b-43f7-8d28-2ee0b65eebb5,Unlikely,2026-09-02T03:30:00.8766667+00:00,Fair,3,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-02T11:13:28.044Z
2026-09-02,Tamarama Beach,d8174dde-e864-4a58-b997-e140bea7c5d6,Unlikely,2026-09-02T03:30:00.8766667+00:00,Fair,3,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-02T11:13:28.044Z
2026-09-02,Bronte Beach,e34aa8b8-142f-438d-ab18-bedce361e324,Unlikely,2026-09-02T03:30:00.8766667+00:00,Good,4,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-02T11:13:28.044Z
2026-09-02,Clovelly Beach,06e4aa12-a704-440e-a31c-ce25fcd0057f,Unlikely,2026-09-02T03:30:00.8766667+00:00,Good,4,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-02T11:13:28.044Z
2026-09-02,Gordons Bay (East),042af9fb-da1d-406a-a743-3da81da0a194,Unlikely,2026-09-02T03:30:00.8766667+00:00,Good,4,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-02T11:13:28.044Z
2026-09-02,Coogee Beach,ca53919d-8e26-40b0-b8cc-edf80ec303d9,Unlikely,2026-09-02T03:30:00.8766667+00:00,Good,4,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-02T11:13:28.044Z
2026-09-03,Bondi Beach,405ce99c-7a0b-43f7-8d28-2ee0b65eebb5,Unlikely,2026-09-03T03:30:00.11+00:00,Fair,3,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-03T11:09:27.069Z
2026-09-03,Tamarama Beach,d8174dde-e864-4a58-b997-e140bea7c5d6,Unlikely,2026-09-03T03:30:00.11+00:00,Fair,3,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-03T11:09:27.069Z
2026-09-03,Bronte Beach,e34aa8b8-142f-438d-ab18-bedce361e324,Unlikely,2026-09-03T03:30:00.11+00:00,Good,4,2026-08-26T10:00:00+10:00,https://api.beachwatch.nsw.gov.au/public/sites/geojson,2026-09-03T11:09:27.069Z
